participant,session,typing_speed,pause_ratio,backspace_ratio,mean_dwell,timing_variance,label
p045,1,3.8068651184609896,0.008857956342929452,0.12211325529895603,0.11144859221765263,0.9255538856911979,neutral
p045,2,2.8299861567652065,0.01741440377804014,0.1269185360094451,0.21348730814639905,3.6025896324883155,neutral
p046,1,4.659559532744298,0.007344840249724568,0.05398457583547558,0.08224605214836576,0.13191345324256276,interested
p046,2,4.537468139962444,0.009883515707730321,0.047299682315566534,0.08649311683727497,0.15159523408314748,interested
p047,1,3.626810006951518,0.0023817625042531474,0.07995916978564137,0.08360122490643075,41.17643003036177,interested
p047,2,6.174495020025589,0.002917341977309562,0.08784440842787683,0.09791183144246353,0.5113608626306421,confident
p048,1,3.1626977048909297,0.011359839625793518,0.09388573337788172,0.17135449381891077,4.2140349393547005,interested
p048,2,2.2805959399588565,0.014621741894469168,0.09345200254291164,0.28476382708200887,14.264448451854353,interested
p049,1,3.0665414989260826,0.007690032534753032,0.14522330671398995,0.19197900029577053,5.333194467528591,neutral
p049,2,2.321852609498588,0.00844988344988345,0.12616550116550115,0.2960608974358974,13.903112911663465,neutral
p050,1,1.0133752006517136,0.03861003861003861,0.07651807651807652,0.22005300105300107,626.6427143608828,neutral
p050,2,1.0519599594356794,0.023941707147814018,0.05968077723802915,0.10799930603747399,815.7121389700694,neutral
p051,1,3.081283123709171,0.012137559002022926,0.09507754551584625,0.14517768037761294,5.946877104234654,interested
p051,2,3.2714540696478736,0.017397122783539644,0.07594513215122115,0.08612579458012712,1.1759584655059607,interested
p052,1,2.5143050012795074,0.01764705882352941,0.08650519031141868,0.2964453287197232,6.797992695511948,interested
p052,2,3.1043331556516445,0.008456659619450317,0.05320648343904158,0.22298837209302325,7.21213334264571,interested
p053,1,1.0000943698561144,0.08592251630226314,0.04142692750287687,0.6393989259685461,41.767801620756984,neutral
p053,2,0.8883092601111491,0.11484166348721862,0.027470431133155285,0.7490335749713849,58.387156512163564,neutral
p054,1,3.175160137556747,0.03003003003003003,0.12972972972972974,0.13220660660660663,0.2282100486861578,neutral
p054,2,3.2237383947847404,0.028980679546968688,0.07195203197868089,0.15101598934043972,0.11653049833543341,interested
p055,1,3.8547697264498737,0.010943396226415094,0.04150943396226415,0.12923556058890148,0.5203541790556546,interested
p055,2,3.511750854270741,0.00815313718539525,0.0478553704360156,0.15985430698333924,3.8639861007059935,interested
p056,1,4.521791247464163,0.009005763688760807,0.0680835734870317,0.06812608069164265,0.028208374250635087,interested
p056,2,4.701488555028255,0.010298661174047374,0.06556814280810161,0.06772811534500515,0.0594554255503628,interested
p057,1,2.0900388409104966,0.019535569480280134,0.056026538886841136,0.3881629793510325,11.446904249089883,interested
p057,2,4.10998730718743,0.006788138620936048,0.050017863522686674,0.12503143979992856,1.470012766984782,interested
p058,1,2.9031714934621595,0.009786154403769481,0.06487857919536064,0.2070076114534251,4.889730717032189,interested
p058,2,2.3788094714021804,0.018578063594140763,0.047874240800285815,0.2733333333333333,3.4025155455623213,interested
p059,1,3.667577053284251,0.02271907681211684,0.062026685899747566,0.09846051208077894,0.0550911921127069,interested
p059,2,3.656923721310389,0.018635502210991788,0.08464939987365762,0.1115966519267214,0.04857006502579675,interested
p060,1,3.563481510509891,0.023733162283515075,0.11642078255291853,0.07563277742142399,0.1750977686223163,neutral
p060,2,3.0722062615328527,0.025544959128065394,0.06846049046321526,0.07268698910081745,2.419102463302532,interested
p061,1,3.8931775628407737,0.013858497447118891,0.06199854121079504,0.1279332603938731,0.054406102894767126,interested
p061,2,3.526214189395257,0.015012815818381545,0.033687294031490296,0.12677810325887956,0.3921620671792708,interested
p062,1,2.853797592181795,0.015918958031837915,0.06222865412445731,0.16850289435600577,4.8909987676960185,interested
p062,2,3.488133909701354,0.024581768521679755,0.06179583475588938,0.07410344827586206,0.14804300413548183,interested
p063,1,1.0616832673712688,0.07596291012838802,0.05813124108416548,0.5857685449358061,88.06022692421816,neutral
p063,2,0.5980871283679469,0.07192982456140351,0.05368421052631579,1.3610838596491228,176.4069880572618,neutral
p064,1,1.4197563733468477,0.05823508395855663,0.07145409074669525,0.4658867452661665,21.697691843144504,neutral
p064,2,1.8940735544735992,0.035302341838518,0.058720727018524994,0.3102726319468717,17.20712927408638,neutral
p065,1,2.7781455066537912,0.006856359273225917,0.14775454233801852,0.07865615358244772,27.293192876691954,neutral
p065,2,3.8016165793950405,0.0050117924528301884,0.11998820754716981,0.07952122641509433,6.587498912971904,neutral
p066,1,4.680220516285951,0.006318006318006318,0.07195507195507196,0.08491962091962091,0.8520512751830436,interested
p066,2,4.962066766278218,0.0061622731941116055,0.05819924683327628,0.08241184525847312,0.16466858188845168,interested
p067,1,1.537968008864565,0.0552228875582169,0.10312707917498337,0.4787840984697272,18.772112540115593,neutral
p067,2,1.6077152570914692,0.036231884057971016,0.06383712905452035,0.4703461007591442,17.59068777980563,neutral
p068,1,3.0255595375125828,0.026595744680851064,0.07446808510638298,0.13724787234042551,4.019540639170012,interested
